pkt arrive time in UTC,Lable,Heartbeat,MACsrc,MACdst,APPID,GOOSElength,gocbRef,Timeallowedtolive,datset,goID,t,Dif_St,Dif_Sq,stNum,sqNum,istest?,num of data,data_Dec,data,I_CB1-66KV,I_CB2-66KV,I_CB3-66KV,I_TRSF1-W1,I_TRSF1-W2,I_CB-TRSF1,I_TRSF2-W1,I_TRSF2-W2,I_CB-TRSF2,I_CB2-22KV,I_FDR1,I_FDR4,Status_CB1-22KV,Status_CB3-22KV,Status_CB-FDR1,Status_CB-FDR4
1605056859.17012,0,1.00035,99,255,4,142,1231,2000,BFP,231,1605056840,0,1,1,18,0,5,0,0,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1605056859.39741,0,1.00052,32,255,2,147,1121,2000,PIOC,121,1605056837,0,1,1,21,0,4,9,1001,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1605056859.42996,0,1.00102,23,255,1,147,1111,2000,PIOC,111,1605056836,0,1,1,22,0,4,5,101,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1605056859.80825,0,1.00061,11,255,3,152,1131,2000,PIOC,131,1605056839,0,1,1,20,0,7,0,0,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1605056860.17140,0,1.00128,99,255,4,142,1231,2000,BFP,231,1605056840,0,1,1,19,0,5,0,0,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1605056860.39778,0,1.00037,32,255,2,147,1121,2000,PIOC,121,1605056837,0,1,1,22,0,4,9,1001,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1605056860.43106,0,1.00110,23,255,1,147,1111,2000,PIOC,111,1605056836,0,1,1,23,0,4,5,101,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1605056860.80914,0,1.00089,11,255,3,152,1131,2000,PIOC,131,1605056839,0,1,1,21,0,7,0,0,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1605056861.17328,0,1.00188,99,255,4,142,1231,2000,BFP,231,1605056840,0,1,1,20,0,5,0,0,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1605056861.39865,0,1.00087,32,255,2,147,1121,2000,PIOC,121,1605056837,0,1,1,23,0,4,9,1001,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1605056861.43191,0,1.00085,23,255,1,147,1111,2000,PIOC,111,1605056836,0,1,1,24,0,4,5,101,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1605056861.80948,0,1.00034,11,255,3,152,1131,2000,PIOC,131,1605056839,0,1,1,22,0,7,0,0,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1605056862.17356,0,1.00028,99,255,4,142,1231,2000,BFP,231,1605056840,0,1,1,21,0,5,0,0,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1605056862.39914,0,1.00049,32,255,2,147,1121,2000,PIOC,121,1605056837,0,1,1,24,0,4,9,1001,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1605056862.43247,0,1.00056,23,255,1,147,1111,2000,PIOC,111,1605056836,0,1,1,25,0,4,5,101,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1605056862.80999,0,1.00051,11,255,3,152,1131,2000,PIOC,131,1605056839,0,1,1,23,0,7,0,0,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1605056863.17403,0,1.00047,99,255,4,142,1231,2000,BFP,231,1605056840,0,1,1,22,0,5,0,0,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1605056863.40047,0,1.00133,32,255,2,147,1121,2000,PIOC,121,1605056837,0,1,1,25,0,4,9,1001,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1605056863.43278,0,1.00031,23,255,1,147,1111,2000,PIOC,111,1605056836,0,1,1,26,0,4,5,101,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1605056863.81037,0,1.00038,11,255,3,152,1131,2000,PIOC,131,1605056839,0,1,1,24,0,7,0,0,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1605056864.17439,0,1.00036,99,255,4,142,1231,2000,BFP,231,1605056840,0,1,1,23,0,5,0,0,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1605056864.39986,0,0.99939,32,255,2,147,1121,2000,PIOC,121,1605056837,0,1,1,26,0,4,9,1001,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
